品名,最低价,平均价,最高价,规格,产地,单位,发布日期
蛇果,14.0,14.5,15.0,,美国,斤,2022-12-31 00:00:00
红提,15.0,15.5,16.0,,秘鲁,斤,2022-12-31 00:00:00
新奇士,6.8,7.9,9.0,,澳洲,斤,2022-12-31 00:00:00
啤梨,10.0,11.0,12.0,,比利时,斤,2022-12-31 00:00:00
毛桃,30.0,36.0,42.0,,澳洲,斤,2022-12-31 00:00:00
山竹,27.0,30.5,34.0,,印泥,斤,2022-12-31 00:00:00
榴莲,20.0,21.5,23.0,,泰国,斤,2022-12-31 00:00:00
火龙果,3.5,4.0,4.5,,越南,斤,2022-12-31 00:00:00
龙眼,7.0,8.0,9.0,,泰国,斤,2022-12-31 00:00:00
椰青,7.7,8.25,8.8,,泰国,个,2022-12-31 00:00:00
车厘子,22.0,42.0,62.0,,智利,斤,2022-12-31 00:00:00
青柚,9.0,10.0,11.0,,泰国,斤,2022-12-31 00:00:00
西柚,9.0,10.0,11.0,,以色列,斤,2022-12-31 00:00:00
牛油果,13.0,15.0,17.0,,秘鲁,斤,2022-12-31 00:00:00
蓝莓,26.0,38.0,50.0,,秘鲁,斤,2022-12-31 00:00:00
释迦,20.0,22.0,24.0,,泰国,斤,2022-12-31 00:00:00
柠檬,12.0,13.5,15.0,,智利,斤,2022-12-31 00:00:00
百香果,12.0,13.0,14.0,,越南,斤,2022-12-31 00:00:00
姬娜果,10.0,10.5,11.0,,美国,斤,2022-12-31 00:00:00
