date,index
1995-01-31,781 个检索结果
1995-02-28,702 个检索结果
1995-03-31,844 个检索结果
1995-04-30,791 个检索结果
1995-05-31,871 个检索结果
1995-06-30,862 个检索结果
1995-07-31,788 个检索结果
1995-08-31,857 个检索结果
1995-09-30,666 个检索结果
1995-10-31,776 个检索结果
1995-11-30,650 个检索结果
1995-12-31,697 个检索结果
1996-01-31,698 个检索结果
1996-02-29,784 个检索结果
1996-03-31,898 个检索结果
1996-04-30,907 个检索结果
1996-05-31,872 个检索结果
1996-06-30,"1,379 个检索结果"
1996-07-31,"1,430 个检索结果"
1996-08-31,"1,209 个检索结果"
1996-09-30,"1,393 个检索结果"
1996-10-31,"1,451 个检索结果"
1996-11-30,"1,517 个检索结果"
1996-12-31,"1,160 个检索结果"
1997-01-31,"1,321 个检索结果"
1997-02-28,"1,268 个检索结果"
1997-03-31,"1,413 个检索结果"
1997-04-30,"1,341 个检索结果"
1997-05-31,"1,312 个检索结果"
1997-06-30,"1,245 个检索结果"
1997-07-31,"1,270 个检索结果"
1997-08-31,"1,136 个检索结果"
1997-09-30,"1,394 个检索结果"
1997-10-31,"1,487 个检索结果"
1997-11-30,"1,244 个检索结果"
1997-12-31,"1,197 个检索结果"
1998-01-31,"1,250 个检索结果"
1998-02-28,"1,336 个检索结果"
1998-03-31,"1,350 个检索结果"
1998-04-30,"1,260 个检索结果"
1998-05-31,"1,532 个检索结果"
1998-06-30,"1,580 个检索结果"
1998-07-31,"1,534 个检索结果"
1998-08-31,"1,384 个检索结果"
1998-09-30,"1,537 个检索结果"
1998-10-31,"1,502 个检索结果"
1998-11-30,"1,582 个检索结果"
1998-12-31,"1,503 个检索结果"
1999-01-31,"1,608 个检索结果"
1999-02-28,"1,443 个检索结果"
1999-03-31,"1,922 个检索结果"
1999-04-30,"1,812 个检索结果"
1999-05-31,"1,711 个检索结果"
1999-06-30,"1,719 个检索结果"
1999-07-31,"1,695 个检索结果"
1999-08-31,"1,472 个检索结果"
1999-09-30,"1,516 个检索结果"
1999-10-31,"1,901 个检索结果"
1999-11-30,"1,779 个检索结果"
1999-12-31,"1,652 个检索结果"
2000-01-31,"1,684 个检索结果"
2000-02-29,"1,721 个检索结果"
2000-03-31,"2,096 个检索结果"
2000-04-30,"1,737 个检索结果"
2000-05-31,"1,951 个检索结果"
2000-06-30,"1,942 个检索结果"
2000-07-31,"1,824 个检索结果"
2000-08-31,"1,748 个检索结果"
2000-09-30,"1,691 个检索结果"
2000-10-31,"1,847 个检索结果"
2000-11-30,"1,759 个检索结果"
2000-12-31,"1,459 个检索结果"
2001-01-31,"1,725 个检索结果"
2001-02-28,"1,751 个检索结果"
2001-03-31,"1,865 个检索结果"
2001-04-30,"1,610 个检索结果"
2001-05-31,"1,844 个检索结果"
2001-06-30,"1,783 个检索结果"
2001-07-31,"1,717 个检索结果"
2001-08-31,"1,640 个检索结果"
2001-09-30,"1,714 个检索结果"
2001-10-31,"1,908 个检索结果"
2001-11-30,"1,701 个检索结果"
2001-12-31,"1,441 个检索结果"
2002-01-31,"1,418 个检索结果"
2002-02-28,"1,547 个检索结果"
2002-03-31,"1,584 个检索结果"
2002-04-30,"1,639 个检索结果"
2002-05-31,"1,702 个检索结果"
2002-06-30,"1,744 个检索结果"
2002-07-31,"1,816 个检索结果"
