数据分析实习生,北京,数据分析,产品,2,实习,"1、本科大三，研一/研二在读，计算机、数据科学、统计学等理工科专业优先；
2、能够实习6个月以上，每周保证5天；
3、能熟练使用SQL，熟悉常用数据统计和分析方法，掌握excel/Tableau/Python等基本数据分析工具；
4、具有良好的英文书写能力和沟通能力；
5、具有数据分析的相关实习经验者优先。","1、对TT用户日常数据进行监控和分析，撰写常规数据分析报告，对异常数据进行归因；
2、支持部门内部数据需求，包括提取数据、分析、数据可视化等；
3、协助团队进行其他数据分析专项工作。"
抖音电商-数据分析实习生（平台治理&服务体验方向）,上海,数据分析,产品,2,实习,"1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先；
2、对数据敏感，对数据类工作有高度热情；
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先；
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具；
5、沟通表达能力优、抗压能力强、协调推动能力好。","1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑；
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持；
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。"
抖音电商-数据分析实习生,上海,数据分析,产品,2,实习,"1、2024年及以后毕业，统计学、应用数学、信息管理、计算机等理工科专业背景优先，保证至少4个月的实习时长；
2、对数据敏感，对数据类工作有高度热情；
3、要能熟练使用SQL，至少可以熟练使用一种数据可视化分析工具；
4、沟通表达能力优，有一定抗压能力，工作积极主动。","1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑；
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持；
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。"
数据分析师实习生-飞书,北京,数据分析,产品,2,实习,"1、本科及以上学历，计算机、统计、数学相关专业，对数据分析有强烈兴趣；
2、精通SQL，熟悉spark、hive等数据库工具，有大型互联网公司数据分析经验、互联网数据分析经验者优先；
3、会使用R/python/sas等常用分析工具进行数据模型开发，熟练掌握统计量化、数据采集、数仓建设、BI构建、数据治理等知识。","1、负责字节跳动飞书增长和市场业务的数据分析工作；
2、对业务各个环节的发展目标和底层逻辑有深入理解，能够独立负责和承担多个模块的数据分析工作，包括但不限于数据架构和数仓模型搭建、异动归因、AB实验、BI开发、埋点建设，能够指导组内或团队同事完成复杂的数据工作；
3、能够熟练运用掌握的分析方法，根据业务的实际特点，通过数据表现给出深入的分析和建议；
4、与相关团队（如数仓团队） 协作并推动数据产品优化，并能在实践中不断总结、沉淀和创新，指导产品和业务策略的迭代；
5、能够发现和优化数据分析工作中的各类流程、规范标准等问题。"
数据分析实习生,上海,数据分析,产品,2,实习,"1、计算机、统计学、数学等相关专业；
2、熟练使用SQL、EXCEL、至少一种脚本语言，熟悉常用数据统计和分析方法 ；
3、良好的沟通能力、团队合作精神和主动意识 ；
4、良好的逻辑思维能力、业务解读能力和快速学习能力； 
5、对数字比较敏感，热爱数据分析工作；
6、至少实习周期为3个月。","1、负责商业化日常数据统计分析，针对异常情况协调资源进行跟踪和深入分析 ；
2、协助分析师对数据洞察以及定性和定量分析，迅速定位内部问题或发现机会 ；
3、协助分析师进行数据分析体系建设和完善，挖掘流量、产品、策略方面的商业变现机会 。"
数据分析实习生,北京,数据分析,产品,2,实习,"1、计算机、统计学、数学等相关专业；
2、熟练使用SQL、EXCEL、至少一种脚本语言，熟悉常用数据统计和分析方法 ；
3、良好的沟通能力、团队合作精神和主动意识 ；
4、良好的逻辑思维能力、业务解读能力和快速学习能力； 
5、对数字比较敏感，热爱数据分析工作；
6、至少实习周期为3个月。","1、负责商业化日常数据统计分析，针对异常情况协调资源进行跟踪和深入分析 ；
2、协助分析师对数据洞察以及定性和定量分析，迅速定位内部问题或发现机会 ；
3、协助分析师进行数据分析体系建设和完善，挖掘流量、产品、策略方面的商业变现机会 。"
数据分析实习生-国际化广告产品,北京,数据分析,产品,2,实习,"1、计算机、统计学、数学等相关专业，英文可作工作语言；
2、熟练使用SQL、EXCEL、Python等至少一种脚本语言，熟悉常用数据统计和分析方法；
3、良好的沟通能力、团队合作精神和主动意识 ；
4、良好的逻辑思维能力、业务解读能力和快速学习能力； 
5、对数字比较敏感，热爱数据分析工作。","国际化广告平台的使命是连接全球的广告客户与用户，让任何行业和经验水平的广告客户都能找到适合的营销方案，并能够轻松创建、管理和优化广告。我们正在寻找优秀的数据科学家一起打造全球顶级广告平台。

1、负责商业化日常数据统计分析，针对异常情况协调资源进行跟踪和深入分析；
2、协助分析师对数据洞察以及定性和定量分析，迅速定位内部问题或发现机会；
3、协助分析师进行数据分析体系建设和完善，挖掘流量、产品、策略方面的商业变现机会。"
数据分析实习生-抖音直播,北京,数据分析,产品,2,实习,"1. 有一定技术背景，了解开发基本概念，数学、统计学、计算机相关专业优先；能实习4个月及以上同学优先；
2. 掌握常用的统计分析方法，能使用SQL / Python / R进行数据清洗与分析工作；
3. 能理解业务，发掘业务细节和数据之间的联系，能通过数据的手段帮助业务提前预知问题，寻找优化点；
4. 有良好沟通、组织能力，良好的团队精神，工作积极主动，并能承担有挑战的工作；
5. 做事认真，仔细，有很强的责任感，项目跟踪、项目执行力较强； 
6. 有项目管理或者数据分析实习经验优先。","1. 负责抖音直播等多款产品的体验优化相关数据分析工作；
2. 分析各项影响体验提升与增长的因素，结合业务方向，给出可落地的优化方案；
3. 通过AB实验等方式给出体验优化的确定性验证；
4. 密切配合技术团队，完成优化策略落地与效果验证，协助数据分析师进行研发项目的其他日常管理（资源、会议、文档等）；
5. 结合整体业务分析和各个专项分析，编写直播体验优化数据月报，为业务决策和改进方向提供数据支持。"
数据分析实习生-抖音电商,杭州,数据分析,产品,2,实习,"1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先；
2、对数据敏感，对数据类工作有高度热情；
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先；
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具；
5、沟通表达能力优、抗压能力强、协调推动能力好。","1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑；
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持；
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。"
电商数据分析师实习生,北京,数据分析,产品,2,实习,"1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先；
2、对数据敏感，对数据类工作有高度热情；
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先；
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具；
5、沟通表达能力优、抗压能力强、协调推动能力好。","1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑；
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持；
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。"
